frame_id,tile_id,rank,x1,y1,x2,y2,conf,cls
0,13,1,670.9011,208.6783,751.2862,390.3897,0.8514,0
0,8,8,627.8447,222.4803,643.1664,273.4638,0.7998,0
0,11,11,291.7578,222.4254,336.5709,354.6829,0.7763,0
0,13,1,729.2805,217.8393,800.1088,384.1299,0.7242,0
0,11,11,217.5721,222.2603,273.7290,360.7761,0.6369,0
0,6,6,365.4234,239.5189,383.7793,284.7489,0.5192,0
0,7,7,541.4295,232.7777,565.4826,297.0328,0.4700,0
0,14,2,923.9803,243.6308,952.1753,328.5249,0.4241,0
0,7,7,508.4566,217.4411,528.1169,264.5816,0.3926,0
1,13,9,671.8101,215.7264,754.1917,393.0751,0.8610,0
1,11,7,292.2136,222.2373,336.1493,355.0295,0.8093,0
1,13,9,729.7226,218.5907,800.2015,384.7593,0.7913,0
1,8,4,628.2539,222.8542,645.2590,273.4778,0.7460,0
1,11,7,220.8305,220.8625,275.8209,361.4038,0.7015,0
1,6,2,365.5777,237.1930,383.4286,285.0629,0.5607,0
1,6,2,272.5063,222.8581,293.7520,277.3608,0.4165,0
1,7,3,541.2390,228.2744,566.0578,297.5421,0.4146,0
1,7,3,508.3120,217.4635,528.8057,264.6588,0.4117,0
1,14,10,926.2654,245.7138,954.0447,328.4982,0.3965,0
1,7,3,486.6402,225.4619,503.2119,258.2196,0.3705,0
2,13,5,672.8911,220.5114,757.8247,395.4716,0.8719,0
2,11,3,292.4173,222.4865,336.6804,354.1053,0.8011,0
2,14,6,735.8806,227.0042,801.6389,387.9262,0.7523,0
2,8,0,628.2943,222.7153,645.3114,273.7404,0.7348,0
2,11,3,220.1615,220.8427,276.1975,361.6079,0.7075,0
2,6,10,365.2856,237.1336,383.9717,285.1163,0.6383,0
2,14,6,926.4932,246.5655,953.1620,328.7939,0.4587,0
2,6,10,270.8987,221.4277,293.9823,276.5358,0.3790,0
2,14,6,916.8022,240.5802,940.2028,319.9119,0.3743,0
2,7,11,541.3050,231.2241,565.8005,297.3728,0.3605,0
3,13,1,675.1567,209.5018,761.1125,397.6202,0.8671,0
3,11,11,292.6205,222.8770,336.3997,353.6317,0.7898,0
3,14,2,737.8083,214.4487,805.5212,388.2432,0.7718,0
3,8,8,628.1943,222.9568,645.7748,273.5473,0.7468,0
3,11,11,217.2174,221.1082,278.2621,361.3055,0.7207,0
3,6,6,365.5495,238.2168,383.9671,284.9075,0.6483,0
3,14,2,926.6245,245.0927,953.2904,328.6621,0.4235,0
3,14,2,915.6730,240.6349,940.5137,320.1297,0.3626,0
4,13,9,676.9107,208.3422,762.7877,398.3874,0.8876,0
4,11,7,292.3829,222.5822,336.7845,353.4116,0.7897,0
4,11,7,216.4355,220.6657,282.0351,360.7893,0.7766,0
4,14,10,745.3723,213.0404,798.9651,388.0383,0.7614,0
4,8,4,628.2001,223.0921,645.6885,273.6350,0.7160,0
4,6,2,365.5851,237.9473,384.1966,285.7182,0.6271,0
4,14,10,925.6293,243.3844,955.2085,328.6702,0.4144,0
4,14,10,915.5271,240.7897,940.5262,320.7532,0.3780,0
5,13,5,680.2856,208.3324,764.4036,400.1740,0.8805,0
5,14,6,748.3117,211.6448,809.0646,388.5334,0.7934,0
5,11,3,292.3947,222.7432,336.7191,353.9823,0.7911,0
